CCAA;Gas;EV;poblacion;pob/Gas;pob/EV;carreteras;carreteras/EV
Andalucía;2306;786;8650938;3751;11006;23345;30
Aragón;510;145;1350329;2648;9313;12001;83
Asturias;242;224;1012562;4184;4520;5133;23
Baleares;216;299;1243047;5755;4157;2155;7
Canarias;478;173;2250808;4709;13010;4177;24
Cantabria;163;83;593044;3638;7145;2566;31
Castilla - La Mancha;1004;245;2112778;2104;8624;19636;80
Castilla y León;946;475;2393741;2530;5039;33424;70
Cataluña;1509;1617;8099460;5367;5009;11991;7
Ceuta;9;0;83457;9273;;37;
Extremadura;458;155;1051987;2297;6787;9243;60
Galicia;722;195;2712132;3756;13908;17600;90
Madrid;871;772;7088861;8139;9182;3240;4
Melilla;11;0;86385;7853;;27;
Murcia;460;160;1581072;3437;9882;3348;21
Navarra;256;178;682201;2665;3833;3996;22
País Vasco;358;353;2237696;6251;6339;4122;12
Rioja;83;36;325987;3928;9055;1878;52
Valencia;1309;848;5389550;4117;6356;8082;10
