municipio;provincia;ccaa;longitude;latitude
Hellín;Albacete;Castilla - La Mancha;-1.703138;38.525597
Villamalea;Albacete;Castilla - La Mancha;-1.608328;39.353107
Villarrobledo;Albacete;Castilla - La Mancha;-2.592007;39.276703
Caudete;Albacete;Castilla - La Mancha;-0.982179;38.70723
Casas-Ibáñez;Albacete;Castilla - La Mancha;-1.475396;39.28618
Albacete;Albacete;Castilla - La Mancha;-1.823691;38.96892
Albacete;Albacete;Castilla - La Mancha;-1.852448;38.996376
Albacete;Albacete;Castilla - La Mancha;-1.853826;38.983826
Albacete;Albacete;Castilla - La Mancha;-1.86342;38.99696
Hellín;Albacete;Castilla - La Mancha;-1.694384;38.53256
Albacete;Albacete;Castilla - La Mancha;-1.885834;39.006577
Albacete;Albacete;Castilla - La Mancha;-1.883171;39.007713
Albacete;Albacete;Castilla - La Mancha;-1.883201;39.007942
Albacete;Albacete;Castilla - La Mancha;-1.893863;39.016384
Hellín;Albacete;Castilla - La Mancha;-1.69813;38.50884
Tarazona de la Mancha;Albacete;Castilla - La Mancha;-1.918196;39.261654
Albacete;Albacete;Castilla - La Mancha;-1.845965;38.9842
Albacete;Albacete;Castilla - La Mancha;-1.845947;38.984135
Roda, La;Albacete;Castilla - La Mancha;-2.160749;39.204227
Gineta, La;Albacete;Castilla - La Mancha;-2.03989;39.13535
Albacete;Albacete;Castilla - La Mancha;-1.8881468;39.02962
Tarazona de la Mancha;Albacete;Castilla - La Mancha;-1.912183;39.256268
Albacete;Albacete;Castilla - La Mancha;-1.880189;39.008118
Albacete;Albacete;Castilla - La Mancha;-1.880095;39.008507
Albacete;Albacete;Castilla - La Mancha;-1.881468;38.94093
Albacete;Albacete;Castilla - La Mancha;-1.874904;39.01291
Villamalea;Albacete;Castilla - La Mancha;-1.592568;39.366665
Almansa;Albacete;Castilla - La Mancha;-1.100252;38.87484
Gineta, La;Albacete;Castilla - La Mancha;-1.990407;39.10762
Chinchilla de Monte-Aragón;Albacete;Castilla - La Mancha;-1.757928;38.937634
Elche de la Sierra;Albacete;Castilla - La Mancha;-2.044565;38.45115
Albacete;Albacete;Castilla - La Mancha;-1.863038;38.99837
Albacete;Albacete;Castilla - La Mancha;-1.878388;39.0069
Albacete;Albacete;Castilla - La Mancha;-1.876648;39.00926
Albacete;Albacete;Castilla - La Mancha;-1.849593;39.0009
Albacete;Albacete;Castilla - La Mancha;-1.89013;39.02596
Albacete;Albacete;Castilla - La Mancha;-1.8535;38.994595
Minaya;Albacete;Castilla - La Mancha;-2.32532;39.27403
Almansa;Albacete;Castilla - La Mancha;-1.123808;38.86826
Chinchilla de Monte-Aragón;Albacete;Castilla - La Mancha;-1.519374;38.900448
Roda, La;Albacete;Castilla - La Mancha;-2.148308;39.202175
Chinchilla de Monte-Aragón;Albacete;Castilla - La Mancha;-1.758911;38.938072
Albacete;Albacete;Castilla - La Mancha;-1.832255;38.93009
Albacete;Albacete;Castilla - La Mancha;-1.847515;38.99828
Alicante/Alacant;Alicante/Alacant;Valencia;-0.52295;38.3466
Alicante/Alacant;Alicante/Alacant;Valencia;-0.523464;38.346
Alcoy/Alcoi;Alicante/Alacant;Valencia;-0.475138;38.69797
Alicante/Alacant;Alicante/Alacant;Valencia;-0.500036;38.36444
Altea;Alicante/Alacant;Valencia;-0.0568;38.5987
Aspe;Alicante/Alacant;Valencia;-0.776662;38.3385
Biar;Alicante/Alacant;Valencia;-0.77442;38.627117
Castalla;Alicante/Alacant;Valencia;-0.671744;38.59398
Dénia;Alicante/Alacant;Valencia;0.119804;38.834736
Elche/Elx;Alicante/Alacant;Valencia;-0.62374;38.294167
Elche/Elx;Alicante/Alacant;Valencia;-0.726308;38.259014
Finestrat;Alicante/Alacant;Valencia;-0.176935;38.53953
Granja de Rocamora;Alicante/Alacant;Valencia;-0.89056;38.15459
Jávea/Xàbia;Alicante/Alacant;Valencia;0.172425;38.78792
Novelda;Alicante/Alacant;Valencia;-0.764488;38.38224
Orihuela;Alicante/Alacant;Valencia;-0.939216;38.091522
Torrevieja;Alicante/Alacant;Valencia;-0.718611;37.96299
Alicante/Alacant;Alicante/Alacant;Valencia;-0.43573;38.40172
Petrer;Alicante/Alacant;Valencia;-0.778572;38.49028
Santa Pola;Alicante/Alacant;Valencia;-0.564977;38.19119
Pilar de la Horadada;Alicante/Alacant;Valencia;-0.78204;37.86661
Elche/Elx;Alicante/Alacant;Valencia;-0.76604;37.87915
Cocentaina;Alicante/Alacant;Valencia;-0.441111;38.73515
Banyeres de Mariola;Alicante/Alacant;Valencia;-0.670299;38.72065
Cox;Alicante/Alacant;Valencia;-0.886352;38.14625
Elda;Alicante/Alacant;Valencia;-0.787742;38.477016
