c.p.;dirección;horario;latitud;localidad;longitud;margen;municipio;provincia;ccaa
2250;avenida castilla la mancha. 26;l-d: 07:00-22:00;39.211417;abengibre;-1.539167;d;abengibre;albacete;Castilla - La Mancha
2152;cr cm-332. 46.4;l-d: 7:00-23:00;39.100389;alatoz;-1.346083;i;alatoz;albacete;Castilla - La Mancha
2001;calle federico garcia lorca. 1;l-d: 24h;39.000861;albacete;-1.849833;d;albacete;albacete;Castilla - La Mancha
2001;calle federico garcia lorca. 5;l-s: 05:00-23:00;38.997722;albacete;-1.846361;i;albacete;albacete;Castilla - La Mancha
2001;calle principe de asturias (polígono de romica). 5;l-d: 06:00-22:00;39.054694;albacete;-1.832000;i;albacete;albacete;Castilla - La Mancha
2001;avenida 1º de mayo. s/n;"l-s: 08:00-22:00; d: 09:00-21:00";38.985667;albacete;-1.868500;n;albacete;albacete;Castilla - La Mancha
2005;avenida escritor rodrigo rubio. 3;l-s: 09:00-21:30;39.006889;albacete;-1.885361;d;albacete;albacete;Castilla - La Mancha
2005;paseo cuba (la). 36;l-d: 06:00-22:00;39.005083;albacete;-1.859917;n;albacete;albacete;Castilla - La Mancha
2005;cl paseo de la cuba. 15;l-d: 06:00-22:00;38.999722;albacete;-1.854556;d;albacete;albacete;Castilla - La Mancha
2005;calle constantino romero. s/n;l-d: 24h;39.005528;albacete;-1.884444;d;albacete;albacete;Castilla - La Mancha
2005;avenida menéndez pidal. 58;l-d: 24h;39.003333;albacete;-1.864917;n;albacete;albacete;Castilla - La Mancha
2002;calle hermanos falcó. 2;l-d: 06:30-22:30;38.989250;albacete;-1.849028;d;albacete;albacete;Castilla - La Mancha
2006;cr n-301. 244;l-d: 24h;39.027778;albacete;-1.892972;i;albacete;albacete;Castilla - La Mancha
2006;carretera n-322 km. 359;"l-v: 07:00-21:00; s-d: 09:00-14:00";39.033139;albacete;-1.845083;d;albacete;albacete;Castilla - La Mancha
2006;pg campollano-p. 2-ct. s.n.;"l-v: 06:00-22:00; s: 07:30-15:30; d: 09:00-15:00";39.012583;albacete;-1.874972;d;albacete;albacete;Castilla - La Mancha
2006;cr n-322. 337.8;l-d: 06:30-22:00;38.925833;albacete;-2.031861;i;albacete;albacete;Castilla - La Mancha
2006;carretera nacional 322 pto km 347 km. 347;l-s: 07:00-22:00;38.965639;albacete;-1.935500;d;albacete;albacete;Castilla - La Mancha
2006;calle almansa. 2;l-d: 06:00-23:00;38.984139;albacete;-1.847083;i;albacete;albacete;Castilla - La Mancha
2006;avda. de españa (próx. a c/ san juan). s/n;l-d: 07:00-23:00;38.982167;albacete;-1.853306;n;albacete;albacete;Castilla - La Mancha
2006;avda. de los toreros. s/n;l-d: 07:00-23:00;38.998222;albacete;-1.869889;n;albacete;albacete;Castilla - La Mancha
